ORIGIN,AIRLINE,Year,flights,delayed,avg_delay,connections,pct_delayed,AIRPORT,ORIGIN_CITY,STATE,LATITUDE,LONGITUDE
ABE,Allegiant Air,2019,111,23,115.91304347826087,"['SAV', 'BNA', 'PIE', 'FLL', 'SFB', 'MYR', 'PGD']",20.72072072072072,Lehigh Valley International,Allentown,PA,40.65236278,-75.44040167
ABE,Delta Air Lines Inc.,2019,35,9,24.11111111111111,['ATL'],25.71428571428571,Lehigh Valley International,Allentown,PA,40.65236278,-75.44040167
ABE,Endeavor Air Inc.,2019,68,11,74.0909090909091,['ATL'],16.176470588235293,Lehigh Valley International,Allentown,PA,40.65236278,-75.44040167
ABE,Envoy Air,2019,46,6,38.833333333333336,['ORD'],13.043478260869565,Lehigh Valley International,Allentown,PA,40.65236278,-75.44040167
ABE,ExpressJet Airlines LLC d/b/a aha!,2019,13,2,27.5,['ORD'],15.384615384615385,Lehigh Valley International,Allentown,PA,40.65236278,-75.44040167
ABE,PSA Airlines Inc.,2019,99,12,43.916666666666664,['CLT'],12.121212121212121,Lehigh Valley International,Allentown,PA,40.65236278,-75.44040167
ABE,SkyWest Airlines Inc.,2019,118,23,57.82608695652174,"['DTW', 'ORD']",19.491525423728813,Lehigh Valley International,Allentown,PA,40.65236278,-75.44040167
ABI,Envoy Air,2019,215,42,79.30952380952381,['DFW'],19.53488372093023,Abilene Regional,Abilene,TX,32.41132,-99.68189722
ABQ,Alaska Airlines Inc.,2019,54,11,42.90909090909091,['SEA'],20.37037037037037,Albuquerque International,Albuquerque,NM,35.04022222,-106.6091944
ABQ,Allegiant Air,2019,16,3,21.0,"['LAS', 'AUS']",18.75,Albuquerque International,Albuquerque,NM,35.04022222,-106.6091944
ABQ,American Airlines Inc.,2019,272,47,80.1063829787234,"['ORD', 'PHX', 'DFW']",17.27941176470588,Albuquerque International,Albuquerque,NM,35.04022222,-106.6091944
ABQ,Delta Air Lines Inc.,2019,135,9,80.77777777777777,"['SLC', 'ATL', 'MSP']",6.666666666666667,Albuquerque International,Albuquerque,NM,35.04022222,-106.6091944
ABQ,Envoy Air,2019,18,4,81.5,['ORD'],22.22222222222222,Albuquerque International,Albuquerque,NM,35.04022222,-106.6091944
ABQ,ExpressJet Airlines LLC d/b/a aha!,2019,31,8,39.125,"['IAH', 'ORD']",25.806451612903224,Albuquerque International,Albuquerque,NM,35.04022222,-106.6091944
ABQ,Frontier Airlines Inc.,2019,11,2,16.5,"['MCO', 'DEN']",18.181818181818183,Albuquerque International,Albuquerque,NM,35.04022222,-106.6091944
ABQ,JetBlue Airways,2019,35,11,287.45454545454544,['JFK'],31.428571428571427,Albuquerque International,Albuquerque,NM,35.04022222,-106.6091944
ABQ,Mesa Airlines Inc.,2019,252,42,116.88095238095238,"['IAH', 'PHX', 'DFW']",16.666666666666664,Albuquerque International,Albuquerque,NM,35.04022222,-106.6091944
ABQ,Republic Airline,2019,33,5,91.0,"['DEN', 'IAH', 'ORD']",15.151515151515152,Albuquerque International,Albuquerque,NM,35.04022222,-106.6091944
ABQ,SkyWest Airlines Inc.,2019,314,47,105.14893617021276,"['SAN', 'PDX', 'SFO', 'DEN', 'LAX', 'PHX', 'SLC', 'IAH', 'ORD']",14.968152866242038,Albuquerque International,Albuquerque,NM,35.04022222,-106.6091944
ABQ,Southwest Airlines Co.,2019,1206,195,53.32820512820513,"['OAK', 'SAN', 'BWI', 'LAS', 'MCI', 'DEN', 'AUS', 'SJC', 'MDW', 'LAX', 'MCO', 'HOU', 'DAL', 'PHX', 'SAT']",16.169154228855724,Albuquerque International,Albuquerque,NM,35.04022222,-106.6091944
